Soil_Type,pH,SWC fresh,TFAA,NH4,NO3,total inorganic N,DIP,TDP,total C
unfertilized,4.95,26.38367142,12.89096259,3.793490806,0.332647259,4.126138065,0.209763041,5.975646975,3.604866537
unfertilized,5,24.49103986,10.83623639,2.411036102,0.625136562,3.036172664,-0.170662125,4.621528719,3.710253707
unfertilized,4.85,24.26867546,11.63626733,2.346471,1.117611286,3.464082286,-0.225557926,6.584505752,3.11708762
unfertilized,4.9,23.98952096,10.25875507,1.901717023,0.386664361,2.288381384,-0.334000851,3.424863746,3.702434067
Lime,6.35,27.59268537,4.944599396,1.09248855,0.308819361,1.401307911,0.601392843,6.437944677,4.266730136
Lime,6.25,25.68088696,6.344138829,2.34289794,2.488900361,4.831798302,0.746851811,6.218872656,3.934287772
Lime,6.3,23.90947022,6.595837728,1.817067261,0.266844023,2.083911284,0.41860058,5.156852929,3.542274735
Chemical,5.55,25.86335404,11.56278923,1.470169862,0.058167914,1.528337777,-0.238966166,9.712140188,3.197122671
Chemical,5.55,24.2507837,6.24093883,1.714427242,0.196948185,1.911375427,-0.141212883,11.98491053,3.558816599
Chemical,5.55,23.4720992,6.06012273,1.735685628,-0.049143065,1.686542563,-0.319132643,15.01585073,2.986478471
Chemical,5.4,22.58898879,7.901616432,0.185712929,0.261454805,0.447167735,2.902615189,13.47159242,2.939312893
Chemical,4.9,23.23033362,11.94379017,1.329182685,0.642881562,1.972064248,5.498262217,7.819137522,3.183183695
Chemical,4.9,22.70807453,9.105287384,0.920155823,0.710064436,1.630220258,5.934217827,4.572690203,3.425432225
Chemical,4.9,22.80055859,12.17224887,0.94162604,0.238551737,1.180177777,4.360214748,8.884563037,2.882132028
Chemical,4.9,21.63503287,12.67116164,3.555316523,2.078934061,5.634250584,-0.308647709,8.718822333,3.556502002
Chemical,4.7,24.05388855,9.030769668,5.490352949,29.51234667,35.00269962,-0.342271757,3.833165365,2.874302561
Chemical,4.9,25.27763756,10.81345655,11.86893373,25.95404753,37.82298125,0.177811466,6.778029494,3.624968535
Chemical,4.65,24.47299489,10.3807548,19.60404714,76.63952362,96.24357076,-0.022742839,4.332451935,3.431086991
Chemical,4.7,21.67142178,12.88836365,22.59527679,39.49147191,62.0867487,-0.328618935,5.167353476,3.145813076
