Treatment;Seeds
LM;28
LM;31
LM;33
LM;24
LM;29
LM;29
LM;36
LM;27
LM;38
LM;30
LM;34
LM;28
LM;34
LM;37
LM;39
LM;23
LM;45
LM;34
LM;17
LM;37
control;1
control;1
control;7
control;6
control;0
control;6
control;4
control;3
control;4
control;4
control;5
control;2
control;6
control;10
control;6
control;7
control;12
control;9
control;5
control;2
CS;6
CS;11
CS;10
CS;4
CS;7
CS;12
CS;8
CS;4
CS;3
CS;6
CS;1
CS;8
CS;2
CS;9
CS;8
MM;40
MM;14
MM;29
MM;33
MM;7
MM;26
MM;38
MM;40
MM;50
MM;24
MM;27
MM;46
MM;34
MM;16
MM;34
MM;48
MM;28
MM;21
MM;33
