Art,Treatment,Seeds
Achillea atrata,LM,28
Achillea atrata,LM,31
Achillea atrata,LM,33
Achillea atrata,LM,24
Achillea atrata,LM,29
Achillea atrata,LM,29
Achillea atrata,LM,36
Achillea atrata,LM,27
Achillea atrata,LM,38
Achillea atrata,LM,30
Achillea atrata,LM,34
Achillea atrata,LM,28
Achillea atrata,LM,34
Achillea atrata,LM,37
Achillea atrata,LM,39
Achillea atrata,LM,23
Achillea atrata,LM,45
Achillea atrata,LM,34
Achillea atrata,LM,17
Achillea atrata,LM,37
Achillea atrata,control,1
Achillea atrata,control,1
Achillea atrata,control,7
Achillea atrata,control,6
Achillea atrata,control,0
Achillea atrata,control,6
Achillea atrata,control,4
Achillea atrata,control,3
Achillea atrata,control,4
Achillea atrata,control,4
Achillea atrata,control,5
Achillea atrata,control,2
Achillea atrata,control,6
Achillea atrata,control,10
Achillea atrata,control,6
Achillea atrata,control,7
Achillea atrata,control,12
Achillea atrata,control,9
Achillea atrata,control,5
Achillea atrata,control,2
Achillea atrata,CS,6
Achillea atrata,CS,11
Achillea atrata,CS,10
Achillea atrata,CS,4
Achillea atrata,CS,7
Achillea atrata,CS,12
Achillea atrata,CS,8
Achillea atrata,CS,4
Achillea atrata,CS,3
Achillea atrata,CS,6
Achillea atrata,CS,1
Achillea atrata,CS,8
Achillea atrata,CS,2
Achillea atrata,CS,9
Achillea atrata,CS,8
Achillea atrata,MM,40
Achillea atrata,MM,14
Achillea atrata,MM,29
Achillea atrata,MM,33
Achillea atrata,MM,7
Achillea atrata,MM,26
Achillea atrata,MM,38
Achillea atrata,MM,40
Achillea atrata,MM,50
Achillea atrata,MM,24
Achillea atrata,MM,27
Achillea atrata,MM,46
Achillea atrata,MM,34
Achillea atrata,MM,16
Achillea atrata,MM,34
Achillea atrata,MM,48
Achillea atrata,MM,28
Achillea atrata,MM,21
Achillea atrata,MM,33
