Soil_Type,Cellulase,Glucosidase,Chitinase,Phosphatase,Peptidase,Phenoloxidase,Peroxidase
Unfertilized,115.9339041,668.7978695,78.91453482,2524.160416,31.19970499,0.486206155,1.265818044
Unfertilized,178.3396297,1054.268453,220.3720237,2564.668703,39.2895356,0.456321728,1.199344129
Unfertilized,151.5980329,1027.776881,218.4837501,2601.678802,35.70401125,0.342304441,0.973975366
Unfertilized,219.351346,1181.853782,284.5259409,2789.08715,38.65721412,0.287859878,0.827063955
Organic,118.0530954,608.0270835,600.5417928,546.1678227,198.5036631,0.392074867,-0.002439575
Organic,178.177316,784.7009412,539.4124329,819.4682055,202.3352453,0.330710512,-0.011647633
Organic,184.2658113,639.9329687,444.5864673,658.4729336,185.8800309,0.219825458,-0.023322756
Chemical,208.7878646,1248.006385,288.2834045,1931.25647,42.91121483,0.528638611,0.979094971
Chemical,164.7452044,1012.479792,362.306237,1816.49081,45.24727565,0.54865062,0.921676906
Chemical,122.0678769,755.307775,199.5343901,1207.527466,35.39663784,0.409983622,0.803238383
Chemical,87.12764058,625.7063276,142.9189353,1098.834649,29.35755246,0.271812539,0.63824135
Chemical,123.0679767,516.09973,141.3014664,2004.072318,20.62873326,0.392641628,1.074096098
Chemical,54.84050466,317.7977032,102.2498012,1246.205039,15.79924053,0.251205956,0.724861326
Chemical,66.96942346,355.4311828,100.6326806,1852.045418,18.28181795,0.299478253,0.904290511
Chemical,40.51902626,658.1249077,128.1031675,2047.63636,23.36041978,0.388212115,1.075193391
Chemical,238.1558702,1334.262273,203.2204705,3595.650796,37.69178224,0.389161219,1.040440824
Chemical,166.8818624,1216.186224,255.3032747,3082.173127,44.44956485,0.474170721,1.123453145
Chemical,140.7608572,768.9776508,133.01609,3195.554757,32.23674733,0.305707298,0.862993307
Chemical,240.7299528,1303.59018,237.3751441,3665.423417,38.50460621,0.236579397,0.740187064
Chemical,254.00816,1164.572309,255.6179457,4674.811813,43.48661801,0.482837847,1.192793425
Chemical,184.5279873,966.0695602,212.8011424,3973.91573,27.71839912,0.511635232,1.287218598
Chemical,203.8301589,1000.7875,289.1837683,4657.038623,33.30467357,0.562104762,1.387041606
Chemical,244.6551364,1103.832433,211.0790917,4235.934322,29.4416959,0.377087047,1.057484014
Chemical,237.6252174,1457.289082,228.3365014,2243.063072,51.46601195,0.441805933,0.851397527
Chemical,206.7503216,1503.242625,332.9647114,2116.966835,50.44917126,0.408901937,0.729392514
Chemical,313.9822169,1648.063751,389.3414927,1918.896822,52.50235891,0.399245069,0.704342107
Chemical,179.6463768,1289.445604,231.6524975,1763.423661,46.26780275,0.299642361,0.638096699
Chemical,151.3803033,1013.793203,271.0114745,1742.280484,32.51600979,0.507828807,1.044976959
Chemical,162.9215229,1088.150483,324.1069663,1824.92666,30.53175823,0.541428146,1.164589971
Chemical,240.2857518,1227.732043,262.5114845,2005.085948,31.5159855,0.530250116,1.034234831
Chemical,127.4697974,818.6081554,165.4772019,1767.698164,34.02323164,0.416831152,0.89571999
Chemical,223.4763012,1208.641778,270.7158298,1797.635395,42.10645858,0.438330391,0.913306053
Chemical,125.2376303,1017.401312,249.8486168,1853.976838,39.14695791,0.363911416,0.857132826
Chemical,139.5792024,834.966651,191.0482681,1205.571319,31.50268702,0.316484146,0.75150133
Chemical,210.8804263,1077.898206,225.0494066,1536.289852,32.02027893,0.268248759,0.630880655
Chemical,230.6366944,1144.213338,449.2186881,2071.864606,34.79630271,0.242168598,0.763489318
Chemical,177.131725,932.8686532,319.4092349,2401.889591,33.14891099,0.28429515,0.849475491
Chemical,250.0973981,1230.473683,397.151119,2728.181174,36.37970563,0.214094706,0.719623028
Chemical,177.4317932,1013.543996,371.614849,2271.117481,31.52741564,0.199914309,0.702258753
Chemical,185.3865219,664.6903814,346.7904288,817.8128883,177.6173678,0.661385689,0.083941677
Chemical,205.237651,715.1315424,457.3527248,906.29675,230.8747298,0.499030913,0.018724116
Chemical,203.0578748,785.5912756,393.6373034,862.4413174,225.9493908,0.388929095,0.024266227
Chemical,207.8561923,629.1541912,277.2550689,676.0214187,233.9828013,0.439159163,-0.009372158
Organic,160.4364872,581.911851,355.7053028,678.6392332,205.4011664,0.396751752,0.05512323
Organic,144.5832184,728.6835138,247.1128295,746.7284552,175.2721572,0.287631667,-0.023625932
Organic,192.8398187,773.9564137,476.5233484,975.0704554,236.8485801,0.337362921,0.03356777
Organic,128.3069351,498.4847454,318.048063,551.5393871,202.8679214,0.318046758,-0.03632344
Organic,106.9998455,1008.952827,282.6250896,2230.911628,32.09445465,0.294913763,0.933403065
Organic,304.2636121,820.6996428,253.5594527,2886.298175,37.26912691,0.287747517,0.81691503
Organic,183.7838155,1778.430123,225.2256524,3117.772175,42.49677729,0.335597925,0.918953217
Organic,131.8499629,1151.106354,263.657445,3658.214103,35.23557511,0.16561803,0.597316999
Organic,89.76346541,1268.923505,289.6915987,1537.517476,37.60986261,0.218211304,0.770371054
Organic,211.6528754,1202.148934,167.7631569,2241.101447,27.72518905,0.161610789,0.58593705
Organic,291.8568646,1727.776593,532.6941799,3115.422295,39.49517444,0.197896245,0.707605188
Organic,167.8314392,1218.573693,318.6421941,2768.275574,40.3107288,0.179002386,0.652465479
